10-21 17:25:03.748   32547-32547   C03F00/org.map...y/ArkCompiler  apppool               I     [ecmascript] asmint: 1, aot: 0, jit: 1, baseline jit: 0, bundle name: org.maplibre.harmony
10-21 17:25:03.748   32547-32547   C03F00/org.map...y/ArkCompiler  apppool               I     [ecmascript] multi-thread check enabled: 0
10-21 17:25:03.750   32547-32547   C01707/org.map...armony/CONCUR  apppool               E     [Interface] task 32812 apply qos failed, errno = 1
10-21 17:25:03.750   32547-32547   C03F00/org.map...y/ArkCompiler  apppool               I     [gc] SmartGC: enter app cold start
10-21 17:25:03.750   32547-32547   C03F00/org.map...y/ArkCompiler  apppool               I     [gc] SmartGC: startup GC restrain, phase 1 threshold: local 448MB, shared 354MB; phase 2 threshold: local 112MB, shared 145MB
10-21 17:25:03.751   32547-32547   C03301/org.map...harmony/LIBUV  apppool               I     init:387049936128
10-21 17:25:03.751   32547-32547   C03301/org.map...harmony/LIBUV  apppool               I     init:387049936128, backend_fd:6
10-21 17:25:03.751   32547-32547   C03301/org.map...harmony/LIBUV  apppool               I     open:387049936128, pipefd[0]:22
10-21 17:25:03.751   32547-32547   C03F00/org.map...y/ArkCompiler  apppool               I     [ecmascript] can not find aot file
10-21 17:25:03.751   32547-32547   C03F00/org.map...y/ArkCompiler  apppool               I     [ecmascript] Stop load AOT because it's not in enable list
10-21 17:25:03.751   32547-32547   C01321/org.map...ony/JsRuntime  apppool               I     [js_runtime_lite.cpp:455]moduleName: maplibre_harmony parse json success
10-21 17:25:03.752   32547-32547   C01719/org.map....harmony/ffrt  apppool               I     2:QueueMonitor:41 queue monitor ctor enter
10-21 17:25:03.752   32547-32547   C01719/org.map....harmony/ffrt  apppool               I     3:QueueMonitor:53 queue monitor ctor leave, watchdog timeout 30000000 us
10-21 17:25:03.752   32547-32547   C01719/org.map....harmony/ffrt  apppool               I     4:DelayedWorker:205 timerfd:58, monitorfd:59
10-21 17:25:03.752   32547-32813   C01719/org.map....harmony/ffrt  apppool               W     5:RunForever:41 [-1915082360] set priority warn ret[1] eno[0]
10-21 17:25:03.758   32547-32816   C01719/org.map....harmony/ffrt  apppool               W     6:operator():115 [-1911912056] set priority warn ret[1] eno[0]
10-21 17:25:03.759   32547-32547   C03F00/org.map...y/ArkCompiler  apppool               I     StartServer, componentName = <private>
10-21 17:25:03.759   32547-32547   C01321/org.map...ony/JsRuntime  apppool               W     [connect_server_manager.cpp:165]not Connected
10-21 17:25:03.759   32547-32547   C03F00/org.map...y/ArkCompiler  apppool               I     [ecmascript] JSNApi::NotifyDebugMode, tid = 32547, debugApp = 1, isDebugMode = 0, instanceId = 0
10-21 17:25:03.760   32547-32547   C03F00/org.map...y/ArkCompiler  apppool               I     [compiler] __jit_debug_register_code() is called.
10-21 17:25:03.760   32547-32547   C03F00/org.map...y/ArkCompiler  apppool               I     [compiler] success to register stub.an to debugger.
10-21 17:25:03.761   32547-32817   C02C03/PARAM_WATCHER            apppool               I     [watcher_manager_kits.cpp:172]Add watcher keyPrefix persist.hdc.jdwp remoteWatcherId 258 success
10-21 17:25:03.761   32547-32817   C02D13/org.map...rmony/HDC_LOG  apppool               I     AddWatchHdcdJdwp rc:0
10-21 17:25:03.761   32547-32817   C02D13/org.map...rmony/HDC_LOG  apppool               I     connect success cfd:62
10-21 17:25:03.762   32547-32817   C02D13/org.map...rmony/HDC_LOG  apppool               I     Send2Jdwp send pid:32547, pp:org.maplibre.harmony, isDebug:1, msglen:32
10-21 17:25:03.762   32547-32818   C01317/org.map...armony/AppKit  apppool               I     [dump_runtime_helper.cpp:352]File existed. dir: /data/storage/el2/base/cache/rawheap
10-21 17:25:03.762   32547-32547   C01E00/org.map...sourceManager  apppool               I     CreateResourceManagerDef LoadThemeRes
10-21 17:25:03.762   32547-32547   C01E00/org.map...sourceManager  apppool               W     update userId, currentUserId_= 0, userId= 100
10-21 17:25:03.763   32547-32818   C01317/org.map...armony/AppKit  apppool               I     [dump_runtime_helper.cpp:332]success to AclSetAccess, path: /data/storage/el2/base/cache/rawheap
10-21 17:25:03.764   32547-32547   C01336/org.map...e.harmony/AMS  apppool               E     [main_thread.cpp:3496]emptye config
10-21 17:25:03.764   32547-32819   C01653/org.map...vePreferences  apppool               W     LoadFromDisk: The settingXml /***/el2/***/i18*** load failed.
10-21 17:25:03.765   32547-32547   C01301/org.map...rmony/Ability  apppool               W     [resource_config_helper.cpp:157]invalid source:
10-21 17:25:03.765   32547-32547   C01301/org.map...rmony/Ability  apppool               W     [resource_config_helper.cpp:157]invalid source:
10-21 17:25:03.765   32547-32547   C01317/org.map...armony/AppKit  apppool               I     [application_cleaner.cpp:82]ClearTempData
10-21 17:25:03.767   32547-32820   C01317/org.map...armony/AppKit  apppool               E     [application_cleaner.cpp:230]Failed to obtain file properties
10-21 17:25:03.767   32547-32820   C01317/org.map...armony/AppKit  apppool               E     [application_cleaner.cpp:101]Clean bundle data dir failed, path: <private>
10-21 17:25:03.768   32547-32547   C01317/org.map...armony/AppKit  apppool               E     [js_ability_stage.cpp:140]stage is nullptr
