10-26 10:19:16.102   34465-34465   C03F00/org.map...y/ArkCompiler  pid-34465             I     [ecmascript] asmint: 1, aot: 0, jit: 1, baseline jit: 0, bundle name: org.maplibre.harmony
10-26 10:19:16.103   34465-34465   C03F00/org.map...y/ArkCompiler  pid-34465             I     [ecmascript] multi-thread check enabled: 0
10-26 10:19:16.106   34465-34465   C03F00/org.map...y/ArkCompiler  pid-34465             I     [gc] SmartGC: enter app cold start
10-26 10:19:16.106   34465-34465   C03F00/org.map...y/ArkCompiler  pid-34465             I     [gc] SmartGC: startup GC restrain, phase 1 threshold: local 448MB, shared 354MB; phase 2 threshold: local 112MB, shared 145MB
10-26 10:19:16.106   34465-34465   C03301/org.map...harmony/LIBUV  pid-34465             I     init:387053899264
10-26 10:19:16.106   34465-34465   C03301/org.map...harmony/LIBUV  pid-34465             I     init:387053899264, backend_fd:6
10-26 10:19:16.106   34465-34465   C03301/org.map...harmony/LIBUV  pid-34465             I     open:387053899264, pipefd[0]:22
10-26 10:19:16.106   34465-34465   C03F00/org.map...y/ArkCompiler  pid-34465             I     [ecmascript] can not find aot file
10-26 10:19:16.106   34465-34465   C03F00/org.map...y/ArkCompiler  pid-34465             I     [ecmascript] Stop load AOT because it's not in enable list
10-26 10:19:16.107   34465-34465   C01321/org.map...ony/JsRuntime  pid-34465             I     [js_runtime_lite.cpp:455]moduleName: maplibre_harmony parse json success
10-26 10:19:16.108   34465-34465   C01719/org.map....harmony/ffrt  pid-34465             I     2:QueueMonitor:41 queue monitor ctor enter
10-26 10:19:16.108   34465-34465   C01719/org.map....harmony/ffrt  pid-34465             I     3:QueueMonitor:53 queue monitor ctor leave, watchdog timeout 30000000 us
10-26 10:19:16.108   34465-34465   C01719/org.map....harmony/ffrt  pid-34465             I     4:DelayedWorker:205 timerfd:58, monitorfd:59
10-26 10:19:16.108   34465-34593   C01719/org.map....harmony/ffrt  pid-34465             W     5:RunForever:41 [-1915082360] set priority warn ret[1] eno[0]
10-26 10:19:16.114   34465-34597   C01719/org.map....harmony/ffrt  pid-34465             W     6:operator():115 [-1911912056] set priority warn ret[1] eno[0]
10-26 10:19:16.115   34465-34465   C03F00/org.map...y/ArkCompiler  pid-34465             I     StartServer, componentName = <private>
10-26 10:19:16.115   34465-34465   C01321/org.map...ony/JsRuntime  pid-34465             W     [connect_server_manager.cpp:165]not Connected
10-26 10:19:16.115   34465-34465   C03F00/org.map...y/ArkCompiler  pid-34465             I     [ecmascript] JSNApi::NotifyDebugMode, tid = 34465, debugApp = 1, isDebugMode = 0, instanceId = 0
10-26 10:19:16.116   34465-34465   C03F00/org.map...y/ArkCompiler  pid-34465             I     [compiler] __jit_debug_register_code() is called.
10-26 10:19:16.116   34465-34465   C03F00/org.map...y/ArkCompiler  pid-34465             I     [compiler] success to register stub.an to debugger.
10-26 10:19:16.119   34465-34465   C01E00/org.map...sourceManager  pid-34465             I     CreateResourceManagerDef LoadThemeRes
10-26 10:19:16.119   34465-34465   C01E00/org.map...sourceManager  pid-34465             W     update userId, currentUserId_= 0, userId= 100
10-26 10:19:16.119   34465-34599   C01317/org.map...armony/AppKit  pid-34465             I     [dump_runtime_helper.cpp:352]File existed. dir: /data/storage/el2/base/cache/rawheap
10-26 10:19:16.120   34465-34465   C01336/org.map...e.harmony/AMS  pid-34465             E     [main_thread.cpp:3496]emptye config
10-26 10:19:16.121   34465-34599   C01317/org.map...armony/AppKit  pid-34465             I     [dump_runtime_helper.cpp:332]success to AclSetAccess, path: /data/storage/el2/base/cache/rawheap
10-26 10:19:16.121   34465-34601   C01653/org.map...vePreferences  pid-34465             W     LoadFromDisk: The settingXml /***/el2/***/i18*** load failed.
10-26 10:19:16.121   34465-34465   C01301/org.map...rmony/Ability  pid-34465             W     [resource_config_helper.cpp:157]invalid source:
10-26 10:19:16.121   34465-34465   C01301/org.map...rmony/Ability  pid-34465             W     [resource_config_helper.cpp:157]invalid source:
10-26 10:19:16.121   34465-34465   C01317/org.map...armony/AppKit  pid-34465             I     [application_cleaner.cpp:82]ClearTempData
10-26 10:19:16.122   34465-34598   C02C03/PARAM_WATCHER            pid-34465             I     [watcher_manager_kits.cpp:172]Add watcher keyPrefix persist.hdc.jdwp remoteWatcherId 3740 success
