10-20 14:26:00.007  1227  1227 W A01c06/ICON: AppIconCalendarCache --> com.huawei.hmos.calendar is not dynamic icon, bundleName is undefined
10-20 14:26:00.007  1227  1227 E A01c06/ICON: AppIconCalendarCache --> backgroundImage resource error
10-20 14:26:00.007  1227  1227 E A01c06/ICON: AppIconCalendarCache --> calendarForegroundBuilder is null
10-20 14:26:00.007  1227  1227 I A01b00/SCB: CommonEventManagerA --> handleCommonEventCallback post inner event:usual.event.TIME_TICK
10-20 14:26:00.008  1227  1227 I A01a00/SYS_UI: StatisticsMaintenance --> report statistics, do not limit
10-20 14:26:00.008  1227  1227 I A01a00/SYS_UI: MaintenanceRecord --> Send maintenance event(1), extendType(6), ext: [{"ntfNum":{},"liveViewNum":{},"showPanelTime":[],"queueNum":0,"dropNum":[0,0],"volume":-2,"version":0,"swingStatus":""}]
10-20 14:26:00.009  1227  1227 I A01a00/SYS_UI: MaintenanceRecord --> Send maintenance event(1) to push success
10-20 14:27:00.010  1227  1227 W A01c06/ICON: AppIconCalendarCache --> recevice date change event, nowData: 20, dateText: , image is empty: true
10-20 14:27:00.010  1227  1227 W A01c06/ICON: AppIconCalendarCache --> data changed to update calendar icon.
10-20 14:27:00.010  1227  1227 W A01c06/ICON: AppIconCalendarCache --> init calendar item: undefined undefined
10-20 14:27:00.010  1227  1227 W A01c06/ICON: AppIconCalendarCache --> com.huawei.hmos.calendar is not dynamic icon, bundleName is undefined
10-20 14:27:00.010  1227  1227 E A01c06/ICON: AppIconCalendarCache --> backgroundImage resource error
10-20 14:27:00.010  1227  1227 E A01c06/ICON: AppIconCalendarCache --> calendarForegroundBuilder is null
10-20 14:27:00.010  1227  1227 I A01b00/SCB: CommonEventManagerA --> handleCommonEventCallback post inner event:usual.event.TIME_TICK
10-20 14:28:00.009  1227  1227 W A01c06/ICON: AppIconCalendarCache --> recevice date change event, nowData: 20, dateText: , image is empty: true
10-20 14:28:00.009  1227  1227 W A01c06/ICON: AppIconCalendarCache --> data changed to update calendar icon.
10-20 14:28:00.010  1227  1227 W A01c06/ICON: AppIconCalendarCache --> init calendar item: undefined undefined
10-20 14:28:00.010  1227  1227 W A01c06/ICON: AppIconCalendarCache --> com.huawei.hmos.calendar is not dynamic icon, bundleName is undefined
10-20 14:28:00.010  1227  1227 E A01c06/ICON: AppIconCalendarCache --> backgroundImage resource error
10-20 14:28:00.010  1227  1227 E A01c06/ICON: AppIconCalendarCache --> calendarForegroundBuilder is null
10-20 14:28:00.010  1227  1227 I A01b00/SCB: CommonEventManagerA --> handleCommonEventCallback post inner event:usual.event.TIME_TICK
10-20 14:29:00.012  1227  1227 I A01b00/SCB: CommonEventManagerA --> handleCommonEventCallback post inner event:usual.event.TIME_TICK
10-20 14:29:00.012  1227  1227 W A01c06/ICON: AppIconCalendarCache --> recevice date change event, nowData: 20, dateText: , image is empty: true
10-20 14:29:00.012  1227  1227 W A01c06/ICON: AppIconCalendarCache --> data changed to update calendar icon.
10-20 14:29:00.012  1227  1227 W A01c06/ICON: AppIconCalendarCache --> init calendar item: undefined undefined
10-20 14:29:00.012  1227  1227 W A01c06/ICON: AppIconCalendarCache --> com.huawei.hmos.calendar is not dynamic icon, bundleName is undefined
10-20 14:29:00.012  1227  1227 E A01c06/ICON: AppIconCalendarCache --> backgroundImage resource error
10-20 14:29:00.012  1227  1227 E A01c06/ICON: AppIconCalendarCache --> calendarForegroundBuilder is null
10-20 14:30:00.010  1227  1227 I A01b00/SCB: CommonEventManagerA --> handleCommonEventCallback post inner event:usual.event.TIME_TICK
10-20 14:30:00.011  1227  1227 W A01c06/ICON: AppIconCalendarCache --> recevice date change event, nowData: 20, dateText: , image is empty: true
10-20 14:30:00.011  1227  1227 W A01c06/ICON: AppIconCalendarCache --> data changed to update calendar icon.
10-20 14:30:00.011  1227  1227 W A01c06/ICON: AppIconCalendarCache --> init calendar item: undefined undefined
10-20 14:30:00.011  1227  1227 W A01c06/ICON: AppIconCalendarCache --> com.huawei.hmos.calendar is not dynamic icon, bundleName is undefined
10-20 14:30:00.011  1227  1227 E A01c06/ICON: AppIconCalendarCache --> backgroundImage resource error
10-20 14:30:00.011  1227  1227 E A01c06/ICON: AppIconCalendarCache --> calendarForegroundBuilder is null
10-20 14:31:00.007  1227  1227 W A01c06/ICON: AppIconCalendarCache --> recevice date change event, nowData: 20, dateText: , image is empty: true
10-20 14:31:00.007  1227  1227 W A01c06/ICON: AppIconCalendarCache --> data changed to update calendar icon.
10-20 14:31:00.007  1227  1227 W A01c06/ICON: AppIconCalendarCache --> init calendar item: undefined undefined
10-20 14:31:00.007  1227  1227 W A01c06/ICON: AppIconCalendarCache --> com.huawei.hmos.calendar is not dynamic icon, bundleName is undefined
10-20 14:31:00.007  1227  1227 E A01c06/ICON: AppIconCalendarCache --> backgroundImage resource error
10-20 14:31:00.007  1227  1227 E A01c06/ICON: AppIconCalendarCache --> calendarForegroundBuilder is null
10-20 14:31:00.008  1227  1227 I A01b00/SCB: CommonEventManagerA --> handleCommonEventCallback post inner event:usual.event.TIME_TICK
10-20 14:32:00.011  1227  1227 W A01c06/ICON: AppIconCalendarCache --> recevice date change event, nowData: 20, dateText: , image is empty: true
10-20 14:32:00.011  1227  1227 W A01c06/ICON: AppIconCalendarCache --> data changed to update calendar icon.
10-20 14:32:00.011  1227  1227 W A01c06/ICON: AppIconCalendarCache --> init calendar item: undefined undefined
10-20 14:32:00.011  1227  1227 W A01c06/ICON: AppIconCalendarCache --> com.huawei.hmos.calendar is not dynamic icon, bundleName is undefined
10-20 14:32:00.011  1227  1227 E A01c06/ICON: AppIconCalendarCache --> backgroundImage resource error
10-20 14:32:00.011  1227  1227 E A01c06/ICON: AppIconCalendarCache --> calendarForegroundBuilder is null
10-20 14:32:00.012  1227  1227 I A01b00/SCB: CommonEventManagerA --> handleCommonEventCallback post inner event:usual.event.TIME_TICK
10-20 14:33:00.007  1227  1227 W A01c06/ICON: AppIconCalendarCache --> recevice date change event, nowData: 20, dateText: , image is empty: true
10-20 14:33:00.007  1227  1227 W A01c06/ICON: AppIconCalendarCache --> data changed to update calendar icon.
10-20 14:33:00.007  1227  1227 W A01c06/ICON: AppIconCalendarCache --> init calendar item: undefined undefined
10-20 14:33:00.007  1227  1227 W A01c06/ICON: AppIconCalendarCache --> com.huawei.hmos.calendar is not dynamic icon, bundleName is undefined
10-20 14:33:00.007  1227  1227 E A01c06/ICON: AppIconCalendarCache --> backgroundImage resource error
10-20 14:33:00.007  1227  1227 E A01c06/ICON: AppIconCalendarCache --> calendarForegroundBuilder is null
10-20 14:33:00.008  1227  1227 I A01b00/SCB: CommonEventManagerA --> handleCommonEventCallback post inner event:usual.event.TIME_TICK
10-20 14:34:00.006  1227  1227 W A01c06/ICON: AppIconCalendarCache --> recevice date change event, nowData: 20, dateText: , image is empty: true
10-20 14:34:00.006  1227  1227 W A01c06/ICON: AppIconCalendarCache --> data changed to update calendar icon.
10-20 14:34:00.006  1227  1227 W A01c06/ICON: AppIconCalendarCache --> init calendar item: undefined undefined
10-20 14:34:00.006  1227  1227 W A01c06/ICON: AppIconCalendarCache --> com.huawei.hmos.calendar is not dynamic icon, bundleName is undefined
10-20 14:34:00.006  1227  1227 E A01c06/ICON: AppIconCalendarCache --> backgroundImage resource error
10-20 14:34:00.007  1227  1227 E A01c06/ICON: AppIconCalendarCache --> calendarForegroundBuilder is null
10-20 14:34:00.007  1227  1227 I A01b00/SCB: CommonEventManagerA --> handleCommonEventCallback post inner event:usual.event.TIME_TICK
10-20 14:35:00.011  1227  1227 I A01b00/SCB: CommonEventManagerA --> handleCommonEventCallback post inner event:usual.event.TIME_TICK
10-20 14:35:00.011  1227  1227 W A01c06/ICON: AppIconCalendarCache --> recevice date change event, nowData: 20, dateText: , image is empty: true
10-20 14:35:00.011  1227  1227 W A01c06/ICON: AppIconCalendarCache --> data changed to update calendar icon.
10-20 14:35:00.012  1227  1227 W A01c06/ICON: AppIconCalendarCache --> init calendar item: undefined undefined
10-20 14:35:00.012  1227  1227 W A01c06/ICON: AppIconCalendarCache --> com.huawei.hmos.calendar is not dynamic icon, bundleName is undefined
10-20 14:35:00.012  1227  1227 E A01c06/ICON: AppIconCalendarCache --> backgroundImage resource error
10-20 14:35:00.012  1227  1227 E A01c06/ICON: AppIconCalendarCache --> calendarForegroundBuilder is null
10-20 14:36:00.006  1227  1227 W A01c06/ICON: AppIconCalendarCache --> recevice date change event, nowData: 20, dateText: , image is empty: true
10-20 14:36:00.006  1227  1227 W A01c06/ICON: AppIconCalendarCache --> data changed to update calendar icon.
10-20 14:36:00.006  1227  1227 W A01c06/ICON: AppIconCalendarCache --> init calendar item: undefined undefined
10-20 14:36:00.006  1227  1227 W A01c06/ICON: AppIconCalendarCache --> com.huawei.hmos.calendar is not dynamic icon, bundleName is undefined
10-20 14:36:00.006  1227  1227 E A01c06/ICON: AppIconCalendarCache --> backgroundImage resource error
10-20 14:36:00.006  1227  1227 E A01c06/ICON: AppIconCalendarCache --> calendarForegroundBuilder is null
10-20 14:36:00.008  1227  1227 I A01b00/SCB: CommonEventManagerA --> handleCommonEventCallback post inner event:usual.event.TIME_TICK
10-20 14:36:00.009  1227  1227 I A01a00/SYS_UI: StatisticsMaintenance --> report statistics, do not limit
10-20 14:36:00.009  1227  1227 I A01a00/SYS_UI: MaintenanceRecord --> Send maintenance event(1), extendType(6), ext: [{"ntfNum":{},"liveViewNum":{},"showPanelTime":[],"queueNum":0,"dropNum":[0,0],"volume":-2,"version":0,"swingStatus":""}]
10-20 14:36:00.011  1227  1227 I A01a00/SYS_UI: MaintenanceRecord --> Send maintenance event(1) to push success
10-20 14:37:00.013  1227  1227 I A01b00/SCB: CommonEventManagerA --> handleCommonEventCallback post inner event:usual.event.TIME_TICK
10-20 14:37:00.013  1227  1227 W A01c06/ICON: AppIconCalendarCache --> recevice date change event, nowData: 20, dateText: , image is empty: true
10-20 14:37:00.013  1227  1227 W A01c06/ICON: AppIconCalendarCache --> data changed to update calendar icon.
10-20 14:37:00.013  1227  1227 W A01c06/ICON: AppIconCalendarCache --> init calendar item: undefined undefined
10-20 14:37:00.014  1227  1227 W A01c06/ICON: AppIconCalendarCache --> com.huawei.hmos.calendar is not dynamic icon, bundleName is undefined
10-20 14:37:00.014  1227  1227 E A01c06/ICON: AppIconCalendarCache --> backgroundImage resource error
10-20 14:37:00.014  1227  1227 E A01c06/ICON: AppIconCalendarCache --> calendarForegroundBuilder is null
10-20 14:38:00.011  1227  1227 I A01b00/SCB: CommonEventManagerA --> handleCommonEventCallback post inner event:usual.event.TIME_TICK
10-20 14:38:00.011  1227  1227 W A01c06/ICON: AppIconCalendarCache --> recevice date change event, nowData: 20, dateText: , image is empty: true
10-20 14:38:00.011  1227  1227 W A01c06/ICON: AppIconCalendarCache --> data changed to update calendar icon.
10-20 14:38:00.011  1227  1227 W A01c06/ICON: AppIconCalendarCache --> init calendar item: undefined undefined
10-20 14:38:00.012  1227  1227 W A01c06/ICON: AppIconCalendarCache --> com.huawei.hmos.calendar is not dynamic icon, bundleName is undefined
10-20 14:38:00.012  1227  1227 E A01c06/ICON: AppIconCalendarCache --> backgroundImage resource error
10-20 14:38:00.012  1227  1227 E A01c06/ICON: AppIconCalendarCache --> calendarForegroundBuilder is null
10-20 14:39:00.008  1227  1227 W A01c06/ICON: AppIconCalendarCache --> recevice date change event, nowData: 20, dateText: , image is empty: true
10-20 14:39:00.008  1227  1227 W A01c06/ICON: AppIconCalendarCache --> data changed to update calendar icon.
10-20 14:39:00.008  1227  1227 W A01c06/ICON: AppIconCalendarCache --> init calendar item: undefined undefined
10-20 14:39:00.008  1227  1227 W A01c06/ICON: AppIconCalendarCache --> com.huawei.hmos.calendar is not dynamic icon, bundleName is undefined
10-20 14:39:00.008  1227  1227 E A01c06/ICON: AppIconCalendarCache --> backgroundImage resource error
10-20 14:39:00.008  1227  1227 E A01c06/ICON: AppIconCalendarCache --> calendarForegroundBuilder is null
10-20 14:39:00.009  1227  1227 I A01b00/SCB: CommonEventManagerA --> handleCommonEventCallback post inner event:usual.event.TIME_TICK
10-20 14:39:10.846  1227  1227 I A04200/WINDOW: SCBSceneSessionManager --> request top by reason: 5! persistentId: 44
10-20 14:39:10.846  1227  1227 I A01b01/HOME: SCBScenePanel --> onRaiseSceneToTop with persistentId:44
10-20 14:39:10.846  1227  1227 I A04200/WINDOW: SCBScenePanelViewModel --> getContainerSessionByPersistentIdOrContainerId persistentId 44 containerId undefined
10-20 14:39:10.846  1227  1227 I A04200/WINDOW: SCBScenePanelViewModel --> getSceneContainerSessionWithPersistentId with session id: 44
10-20 14:39:10.847  1227  1227 I A04200/WINDOW: SCBScenePanelViewModel --> getSceneContainerSessionWithPersistentId from containerSessionList id: 44
10-20 14:39:10.847  1227  1227 I A04200/WINDOW: SCBSceneContainerSession --> updateLastUsedTimestamp primarySession id:44, secondarySession id:
10-20 14:39:10.847  1227  1227 I A04200/WINDOW: SCBScenePanelManager --> Remove scene container session, id: 13
10-20 14:39:10.848  1227  1227 E A04200/WINDOW: SCBSceneSessionManager --> No scene func: 25 has registered!
10-20 14:39:10.848  1227  1227 I A04200/WINDOW: SCBSceneSessionManager --> requestFocus id : 44, byForeground：true, reason: 1
10-20 14:39:10.848  1227  1227 I A04200/WINDOW: SCBSceneSessionManager --> get session by persistentId: 44
10-20 14:39:10.870 11059 11059 I A00500/Settings: SuggestionCardManager page hide application_and_service_settings navigationMode 0 pathLength 0
10-20 14:39:10.870 11059 11059 I A00500/Settings:      last page application_and_service_settings
10-20 14:39:10.870 11059 11059 I A00500/Settings: SuggestionCardManager goto homePage
10-20 14:39:10.870 11059 11059 I A00500/Settings: SuggestionCardManager getData
10-20 14:39:10.870 11059 11059 I A00500/Settings: SuggestionCardManager initAccessorController 1
10-20 14:39:10.876 11059 11059 I A00500/Settings: SettingFramework --> SettingPage --> page hide, Application
10-20 14:39:10.888 11059  9220 I A00500/Settings: SuggestionCardManager querySuggestion
10-20 14:39:10.947 11059 11059 I A00500/Settings: EmptyServiceComponent :  aboutToDisappear
10-20 14:39:10.948 11059 11059 I A00500/Settings: ApplicationController onDestroy
10-20 14:39:10.949 11059 11059 I A00500/Settings: CommonUtils:  the page isExist: false
10-20 14:39:10.951 11059 11059 I A00500/Settings: SettingFramework --> SettingGroup --> setting group Setting.Application.ServiceTab.ServiceGroup disappear.
10-20 14:39:10.952 11059 11059 I A00500/Settings: BundleListController onDestroy
10-20 14:39:10.953 11059 11059 I A00500/Settings: BaseAppLoadingComponent :  aboutToDisappear
